SKL,Main,Season 9,Hunters Arrow,Masquerain,Vivillon
SKL,Main,Season 9,Hunters Arrow,Gardevoir-Mega,Pidgeot-Mega
SKL,Main,Season 9,Low Tide Lotads,Bronzong,Hoopa
SKL,Main,Season 9,New England Braviarys,Cresselia,Goodra
SKL,Main,Season 9,New England Braviarys,Dusclops,Trevenant
SKL,Main,Season 9,Liberty Delibirds,Alomomola,Uxie
SKL,Main,Season 9,Puerto Rico Stuffuls,Machamp,Doublade
SKL,Main,Season 9,Puerto Rico Stuffuls,Exploud,Gligar
SKL,Main,Season 9,Puerto Rico Stuffuls,Steelix,Kangaskhan
Ever Grande Draft League,Main,Season 1,Kent Bronzongs,Heracross,Hoopa
Cascade Draft League,Challengers Div 2,Season 9,Bristol City Bewears,Charizard-Mega-X,Absol-Mega
Moon Lake Draft,Main,The Second,Springfield Scizors,Xurkitree,Chansey
Cascade Draft League,Challengers Div 1,Season 9,California Cacturnes,Garbodor,Floatzel
All Star Premier League,SS Tier 3 and Below,Season 5,New England Patrats,Sandaconda,Audino
SKL,Main,Season 9,New England Braviarys,Gligar,Sigilyph
SKL,Main,Season 9,New England Braviarys,Virizion,Gogoat
SKL,Main,Season 9,Liberty Delibirds,Meloetta,Kingdra
Cascade Draft League,Challengers Div 2,Season 9,Chicago Chatots,Togetic,Cryogonal
ALPH,Fisheous Rend Go Brrr,Season 11,Ravenclaw Talonflames,Celebi,Shaymin
ALPH,Fisheous Rend Go Brrr,Season 11,West Texas ‘Niners,Charizard-Mega-X,Charizard
SKL,Main,Season 9,North London Landos,Cinccino,Qwilfish
ALPH,Fisheous Rend Go Brrr,Season 11,Harrisburg Hitmonlees,Steelix,Sandslash
ALPH,Fisheous Rend Go Brrr,Season 11,Harrisburg Hitmonlees,Spiritomb,Persian-Alola
ALPH,Wish Teleport Repeat,Season 11,Kajaani Sceptiles,Slowbro,Toxapex
ALPH,Wish Teleport Repeat,Season 11,Kajaani Sceptiles,Keldeo,Diancie
ALPH,Fisheous Rend Go Brrr,Season 11,West Texas ‘Niners,Lycanroc-Dusk,Lycanroc-Midnight
ALPH,Fisheous Rend Go Brrr,Season 11,West Texas ‘Niners,Azumarill,Galvantula
ALPH,Fisheous Rend Go Brrr,Season 11,Detroit F,Jirachi,Hoopa-Unbound
ALPH,Fisheous Rend Go Brrr,Season 11,Detroit F,Poliwrath,Cinccino
ALPH,Fisheous Rend Go Brrr,Season 11,Detroit F,Hydreigon,Manaphy
ALPH,Fisheous Rend Go Brrr,Season 11,Detroit F,Nidoqueen,Roserade
SKL,Main,Season 9,All Steel Skarmory,Conkeldurr,Lucario
SKL,Main,Season 9,All Steel Skarmory,Kangaskhan,Fletchinder
SKL,Main,Season 9,All Steel Skarmory,Tornadus,Venomoth
ALPH,Fisheous Rend Go Brrr,Season 11,Rochester raikou,Probopass,Aggron
ALPH,Fisheous Rend Go Brrr,Season 11,West Texas ‘Niners,Leafeon,Kingdra
SKL,Main,Season 9,Arctic Flamers,Raikou,Latios
SKL,Main,Season 9,Primarina Sonata,Stunfisk,Linoone
ALPH,Wish Teleport Repeat,Season 11,Miami Rotom-Heat,Salamence,Latios
ALPH,Wish Teleport Repeat,Season 11,Miami Rotom-Heat,Hippowdon,Tapu Fini
ALPH,Wish Teleport Repeat,Season 11,Miami Rotom-Heat,Empoleon,Audino
ALPH,Wish Teleport Repeat,Season 11,Miami Rotom-Heat,Gardevoir,Gligar
ALPH,Fisheous Rend Go Brrr,Season 11,West Texas ‘Niners,Diancie-Mega,Charizard-Mega-X
ALPH,Fisheous Rend Go Brrr,Season 11,West Texas ‘Niners,Gliscor,Alakazam
ALPH,Fisheous Rend Go Brrr,Season 11,West Texas ‘Niners,Volcanion,Arcanine
ALPH,Fisheous Rend Go Brrr,Season 11,West Texas ‘Niners,Azelf,Lycanroc-Dusk
ALPH,Fisheous Rend Go Brrr,Season 11,West Texas ‘Niners,Alomomola,Ninetales
ALPH,Fisheous Rend Go Brrr,Season 11,West Texas ‘Niners,Dusclops,Leafeon
ALPH,Fisheous Rend Go Brrr,Season 11,West Texas ‘Niners,Vikavolt,Heliolisk
ALPH,Fisheous Rend Go Brrr,Season 11,West Texas ‘Niners,Virizion,Azumarill
Ever Grande Draft League,Main,Season 1,Washington Wishiwashi,Yanmega,Sigilyph
Corn's Draft League,Main,Season 1,Absolute Victory,Rotom,Wailord
Corn's Draft League,Main,Season 1,Absolute Victory,Crobat,Arctozolt
Corn's Draft League,Main,Season 1,Los Angeles Rampardos,Celesteela,Gyarados
Corn's Draft League,Main,Season 1,Long Island Lickitung,Latios-Mega,Blastoise-Mega
Corn's Draft League,Main,Season 1,King Groudon,Ninetales-Alola,Empoleon
All Star Premier League,SS LC,Season 5,Colorado Mamoswine,Gossifleur,Snover
All Star Premier League,SS National Dex,Season 5,Whiscash Wanderers,Gigalith,Inteleon
All Star Premier League,ORAS Standard,Season 5,Amsterdam Bulushops,Kabutops,Kingdra
ALPH,Main,Season 2,Los Angeles Pikachus,Sandslash,Bibarel
ALPH,Main,Season 2,Wayland Wailords,Crobat,Chatot
ALPH,Main,Season 2,Wayland Wailords,Ampharos,Cradily
ALPH,Main,Season 2,San Francisco Arcaniners,Thundurus,Tyranitar
ALPH,Main,Season 2,San Francisco Arcaniners,Decidueye,Talonflame
ALPH,Main,Season 2,New York Pokemon Rangers,Sigilyph,Palossand
ALPH,Main,Season 2,Portland Pikachus,Lunatone,Bellossom
ALPH,Main,Season 1,Colorado Avaluggs,Zygarde,Thundurus
ALPH,Main,Season 1,Colorado Avaluggs,Cobalion,Meloetta
ALPH,Main,Season 1,Ajax Aipoms,Blastoise-Mega,Charizard-Mega-Y
ALPH,Main,Season 1,Ravenclaw Talonflames,Suicune,Keldeo
ALPH,Main,Season 1,Ravenclaw Talonflames,Clefable,Chansey
ALPH,Main,Season 1,West Virginia Weepinbells,Quagsire,Vaporeon
ALPH,Main,Season 1,West Virginia Weepinbells,Uxie,Dhelmise
ALPH,Main,Season 1,West Virginia Weepinbells,Dhelmise,Hitmontop
ALPH,Main,Season 1,West Virginia Weepinbells,Noivern,Dusclops
